TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,ADC_48_0,ADC_48_1,ADC_48_2,ADC_48_3,PM_1,PM_25,PM_10
2020-09-02T15:42:49Z,27.02,60.63,99,7,46.62,101.54,0.00,400.00,0.205102,0.212969,0.222883,0.209883,null,null,null
2020-09-02T15:43:19Z,26.99,60.69,99,7,42.23,101.54,0.00,400.00,0.205695,0.213742,0.221531,0.209570,null,null,null
2020-09-02T15:43:49Z,27.00,60.64,99,7,41.76,101.54,0.00,400.00,0.205141,0.213445,0.220516,0.209219,null,null,null
2020-09-02T15:44:19Z,26.99,60.59,99,7,41.79,101.54,0.00,400.00,0.204203,0.212109,0.220719,0.209148,null,null,null
2020-09-02T15:44:49Z,26.97,60.61,99,7,40.08,101.54,0.00,400.00,0.205586,0.213641,0.222227,0.210219,null,null,null
2020-09-02T15:45:19Z,26.97,60.65,99,6,43.69,101.54,0.00,400.00,0.204383,0.214031,0.221844,0.209500,null,null,null
2020-09-02T15:45:49Z,26.95,60.66,99,7,32.34,101.55,0.00,400.00,0.205406,0.213484,0.221477,0.210125,null,null,null
2020-09-02T15:46:19Z,26.97,60.66,99,7,34.11,101.55,0.00,400.00,0.204430,0.212977,0.221914,0.210531,null,null,null
2020-09-02T15:46:49Z,26.99,60.56,99,7,43.35,101.54,0.00,400.00,0.205375,0.212883,0.221539,0.210187,null,null,null
2020-09-02T15:47:19Z,26.97,60.57,99,7,33.25,101.54,0.00,400.00,0.205734,0.213000,0.220844,0.211203,null,null,null
2020-09-02T15:47:49Z,26.99,60.58,99,7,32.76,101.54,0.00,400.00,0.205445,0.214086,0.220055,0.210250,null,null,null
2020-09-02T15:48:19Z,27.00,60.54,99,7,37.54,101.54,0.00,400.00,0.204984,0.213172,0.220219,0.209500,null,null,null
2020-09-02T15:48:49Z,27.00,60.48,99,7,35.26,101.54,0.00,400.00,0.206883,0.213398,0.222523,0.210008,null,null,null
2020-09-02T15:49:19Z,27.00,60.50,99,7,36.43,101.54,0.00,400.00,0.205828,0.213250,0.221758,0.209422,null,null,null
2020-09-02T15:49:49Z,26.96,60.57,99,7,32.70,101.55,0.00,400.00,0.205359,0.212797,0.220406,0.209586,null,null,null
2020-09-02T15:50:19Z,27.00,60.57,99,7,35.76,101.54,0.00,400.00,0.204961,0.213039,0.221594,0.209375,null,null,null
2020-09-02T15:50:49Z,26.95,60.57,99,8,42.94,101.55,0.00,400.00,0.206383,0.213766,0.221234,0.210000,null,null,null
2020-09-02T15:51:19Z,26.96,60.59,99,7,38.18,101.55,0.00,400.00,0.204117,0.212852,0.221930,0.210906,null,null,null
2020-09-02T15:51:49Z,26.95,60.61,99,6,38.26,101.55,0.00,400.00,0.207234,0.213297,0.222516,0.211008,null,null,null
2020-09-02T15:52:19Z,26.95,60.61,99,5,32.14,101.55,0.00,400.00,0.205336,0.212898,0.221781,0.210836,null,null,null
2020-09-02T15:52:49Z,26.97,60.57,99,8,30.17,101.55,0.00,400.00,0.204727,0.212508,0.222797,0.210336,null,null,null
2020-09-02T15:53:19Z,26.97,60.55,99,8,37.34,101.55,0.00,400.00,0.206938,0.212891,0.222500,0.210984,null,null,null
2020-09-02T15:53:49Z,26.99,60.53,99,7,32.21,101.55,0.00,400.00,0.205258,0.212023,0.221672,0.211008,null,null,null
2020-09-02T15:54:19Z,26.99,60.64,99,7,32.19,101.55,0.00,400.00,0.206125,0.214664,0.222227,0.210727,null,null,null
2020-09-02T15:54:49Z,26.99,60.60,99,8,43.76,101.55,0.00,400.00,0.204906,0.213086,0.222469,0.210547,null,null,null
2020-09-02T15:55:19Z,26.96,60.58,99,8,34.39,101.55,0.00,400.00,0.204617,0.212484,0.222930,0.211391,null,null,null
2020-09-02T15:55:49Z,26.99,60.58,99,8,36.21,101.54,0.00,400.00,0.205656,0.213414,0.222344,0.210797,null,null,null
2020-09-02T15:56:19Z,27.02,60.52,99,8,48.76,101.54,0.00,400.00,0.205133,0.212633,0.222352,0.210305,null,null,null
2020-09-02T15:56:49Z,26.97,60.53,99,8,36.52,101.54,0.00,400.00,0.205109,0.212516,0.221766,0.210484,null,null,null
2020-09-02T15:57:19Z,26.99,60.60,99,7,37.21,101.54,0.00,400.00,0.206148,0.213695,0.221531,0.211094,null,null,null
2020-09-02T15:57:49Z,26.99,60.55,99,8,31.64,101.54,0.00,400.00,0.206313,0.212711,0.223742,0.210859,null,null,null
2020-09-02T15:58:19Z,27.00,60.56,99,8,34.39,101.55,0.00,400.00,0.204586,0.212961,0.222344,0.210281,null,null,null
2020-09-02T15:58:49Z,27.00,60.59,99,8,41.08,101.54,0.00,400.00,0.207320,0.214797,0.222914,0.209898,null,null,null
2020-09-02T15:59:19Z,26.97,60.59,99,8,34.42,101.55,0.00,400.00,0.205398,0.212945,0.222797,0.210688,null,null,null
2020-09-02T15:59:49Z,27.03,60.56,99,7,32.98,101.54,0.00,400.00,0.205836,0.214078,0.223273,0.210930,null,null,null
2020-09-02T16:00:19Z,27.02,60.47,99,7,45.93,101.55,0.00,400.00,0.206547,0.213687,0.221992,0.210367,null,null,null
2020-09-02T16:00:49Z,27.03,60.56,99,7,45.68,101.55,0.00,400.00,0.206117,0.213086,0.223102,0.210484,null,null,null
2020-09-02T16:01:19Z,27.03,60.51,99,7,36.86,101.55,0.00,400.00,0.206289,0.212992,0.222922,0.210445,null,null,null
2020-09-02T16:01:49Z,27.03,60.46,99,8,40.82,101.55,0.00,400.00,0.206078,0.213062,0.223320,0.211375,null,null,null
2020-09-02T16:02:19Z,27.02,60.50,99,7,39.18,101.54,0.00,400.00,0.205875,0.213367,0.223180,0.211406,null,null,null
2020-09-02T16:02:49Z,27.00,60.52,99,7,45.35,101.54,0.00,400.00,0.206047,0.214047,0.222969,0.210422,null,null,null
2020-09-02T16:03:19Z,27.00,60.51,99,7,34.89,101.55,0.00,400.00,0.206711,0.213508,0.223648,0.211547,null,null,null
2020-09-02T16:03:49Z,27.03,60.47,99,7,32.08,101.54,0.00,400.00,0.204516,0.213039,0.222047,0.210570,null,null,null
2020-09-02T16:04:19Z,27.06,60.48,99,7,31.69,101.55,0.00,400.00,0.205422,0.213477,0.223508,0.210727,null,null,null
2020-09-02T16:04:49Z,27.07,60.41,99,7,36.52,101.54,0.00,400.00,0.205445,0.212398,0.223117,0.211187,null,null,null
2020-09-02T16:05:19Z,27.05,60.43,99,7,35.50,101.54,0.00,400.00,0.206125,0.212609,0.221875,0.211305,null,null,null
2020-09-02T16:05:49Z,27.07,60.42,99,8,32.35,101.54,0.00,400.00,0.207102,0.214508,0.223023,0.211469,null,null,null
2020-09-02T16:06:19Z,27.05,60.49,99,7,36.51,101.55,0.00,400.00,0.206742,0.213922,0.223125,0.209969,null,null,null
2020-09-02T16:06:49Z,27.02,60.53,99,7,36.01,101.54,0.00,400.00,0.207289,0.214484,0.224398,0.211156,null,null,null
2020-09-02T16:07:19Z,26.99,60.60,99,7,35.25,101.54,0.00,400.00,0.205820,0.213930,0.223703,0.211555,null,null,null
2020-09-02T16:07:49Z,26.97,60.65,99,7,34.31,101.55,0.00,400.00,0.206648,0.213461,0.223125,0.211383,null,null,null
2020-09-02T16:08:19Z,26.96,60.73,99,7,38.52,101.56,0.00,400.00,0.204992,0.212555,0.221437,0.210734,null,null,null
2020-09-02T16:08:49Z,26.97,60.74,99,7,35.89,101.55,0.00,400.00,0.205734,0.213273,0.223063,0.211195,null,null,null
2020-09-02T16:09:19Z,26.93,60.78,99,7,33.21,101.55,0.00,400.00,0.207563,0.213555,0.223133,0.210875,null,null,null
2020-09-02T16:09:49Z,26.93,60.80,99,7,36.80,101.55,0.00,400.00,0.205469,0.213523,0.222320,0.211680,null,null,null
2020-09-02T16:10:19Z,26.87,60.95,99,7,36.63,101.55,0.00,400.00,0.206687,0.213414,0.222430,0.210742,null,null,null
2020-09-02T16:10:49Z,26.87,61.00,99,8,46.74,101.55,0.00,400.00,0.207016,0.214195,0.223289,0.211391,null,null,null
2020-09-02T16:11:19Z,26.86,61.04,99,7,35.17,101.55,0.00,400.00,0.207609,0.214445,0.224172,0.211297,null,null,null
2020-09-02T16:11:49Z,26.85,61.08,99,7,42.57,101.55,0.00,400.00,0.205437,0.215094,0.223805,0.211781,null,null,null
2020-09-02T16:12:19Z,26.83,61.16,99,7,44.69,101.54,0.00,400.00,0.207391,0.213977,0.223180,0.211430,null,null,null
2020-09-02T16:12:49Z,26.82,61.16,99,7,47.68,101.55,0.00,400.00,0.207133,0.213227,0.223523,0.211562,null,null,null
2020-09-02T16:13:19Z,26.83,61.16,99,7,32.53,101.55,0.00,400.00,0.205820,0.214117,0.223766,0.211578,null,null,null
2020-09-02T16:13:49Z,26.79,61.20,99,7,31.89,101.55,0.00,400.00,0.205664,0.214711,0.222969,0.211195,null,null,null
2020-09-02T16:14:19Z,26.80,61.15,99,7,37.32,101.55,0.00,400.00,0.206281,0.214453,0.222570,0.211367,null,null,null
2020-09-02T16:14:49Z,26.82,61.18,99,7,32.34,101.55,0.00,400.00,0.206930,0.213391,0.224461,0.211672,null,null,null
2020-09-02T16:15:19Z,26.83,61.12,99,7,45.62,101.55,0.00,400.00,0.207438,0.214492,0.224328,0.211078,null,null,null
2020-09-02T16:15:49Z,26.80,61.18,99,7,41.62,101.55,0.00,400.00,0.206062,0.214328,0.222820,0.211266,null,null,null
2020-09-02T16:16:19Z,26.82,61.16,99,7,34.80,101.55,0.00,400.00,0.205984,0.214695,0.223203,0.211453,null,null,null
2020-09-02T16:16:49Z,26.79,61.14,99,6,35.80,101.54,0.00,400.00,0.208359,0.214234,0.223711,0.211437,null,null,null
2020-09-02T16:17:19Z,26.80,61.27,99,6,36.20,101.55,0.00,400.00,0.206930,0.213594,0.224242,0.212016,null,null,null
2020-09-02T16:17:49Z,26.78,61.22,99,7,33.81,101.55,0.00,400.00,0.205547,0.213945,0.223125,0.211508,null,null,null
2020-09-02T16:18:19Z,26.80,61.23,99,6,38.43,101.55,0.00,400.00,0.207672,0.214211,0.223344,0.211891,null,null,null
2020-09-02T16:18:49Z,26.79,61.27,99,1,45.28,101.55,0.00,400.00,0.206477,0.214055,0.224125,0.211414,null,null,null
2020-09-02T16:19:19Z,26.76,61.28,99,0,43.63,101.54,0.00,400.00,0.206469,0.213453,0.223391,0.211852,null,null,null
2020-09-02T16:19:49Z,26.75,61.32,99,0,41.21,101.55,0.00,400.00,0.205992,0.213898,0.224203,0.211570,null,null,null
2020-09-02T16:20:19Z,26.75,61.33,99,1,44.33,101.55,0.00,400.00,0.205758,0.213734,0.222344,0.211898,null,null,null
2020-09-02T16:20:49Z,26.75,61.36,99,4,40.12,101.55,0.00,400.00,0.206813,0.214000,0.222297,0.211492,null,null,null
2020-09-02T16:21:19Z,26.75,61.37,99,6,40.87,101.55,0.00,400.00,0.205852,0.214367,0.223797,0.211672,null,null,null
2020-09-02T16:21:49Z,26.75,61.41,99,7,32.16,101.55,0.00,400.00,0.205320,0.213961,0.221609,0.210898,null,null,null
2020-09-02T16:22:19Z,26.75,61.40,99,6,39.42,101.55,0.00,400.00,0.207672,0.214813,0.221852,0.212117,null,null,null
2020-09-02T16:22:49Z,26.76,61.41,99,6,36.05,101.55,0.00,400.00,0.206008,0.214141,0.224672,0.211570,null,null,null
2020-09-02T16:23:19Z,26.76,61.31,99,6,32.24,101.55,0.00,400.00,0.205016,0.213344,0.223203,0.211680,null,null,null
2020-09-02T16:23:49Z,26.76,61.31,99,7,39.06,101.55,0.00,400.00,0.207695,0.214789,0.223805,0.211625,null,null,null
2020-09-02T16:24:19Z,26.78,61.33,99,7,35.99,101.54,0.00,400.00,0.207047,0.214836,0.224828,0.211477,null,null,null
2020-09-02T16:24:49Z,26.75,61.37,99,8,40.18,101.55,0.00,400.00,0.205586,0.212586,0.223281,0.212070,null,null,null
2020-09-02T16:25:19Z,26.75,61.36,99,7,40.32,101.54,0.00,400.00,0.206703,0.215062,0.224242,0.211539,null,null,null
2020-09-02T16:25:49Z,26.76,61.35,99,7,39.47,101.54,0.00,400.00,0.207305,0.214164,0.224664,0.212141,null,null,null
2020-09-02T16:26:19Z,26.78,61.34,99,2,59.45,101.55,0.00,400.00,0.206602,0.214422,0.224352,0.212078,null,null,null
2020-09-02T16:26:49Z,26.80,61.31,99,6,46.54,101.55,0.00,400.00,0.207609,0.215031,0.224180,0.212102,null,null,null
2020-09-02T16:27:19Z,26.79,61.22,99,7,46.24,101.55,0.00,400.00,0.206320,0.213844,0.224227,0.212094,null,null,null
2020-09-02T16:27:49Z,26.76,61.28,99,7,43.74,101.55,0.00,400.00,0.209039,0.216055,0.224859,0.211500,null,null,null
2020-09-02T16:28:19Z,26.78,61.31,99,6,46.79,101.55,0.00,402.00,0.207641,0.214789,0.223727,0.211203,null,null,null
2020-09-02T16:28:49Z,26.80,61.30,99,6,43.63,101.55,0.00,402.00,0.206953,0.214203,0.224023,0.212062,null,null,null
2020-09-02T16:29:19Z,26.76,61.28,99,5,35.82,101.55,0.00,400.00,0.206859,0.214570,0.222891,0.211195,null,null,null
2020-09-02T16:29:49Z,26.79,61.31,99,5,41.48,101.55,0.00,400.00,0.206852,0.214547,0.224055,0.212008,null,null,null
2020-09-02T16:30:19Z,26.75,61.35,99,7,44.71,101.55,0.00,400.00,0.205484,0.213828,0.225242,0.212727,null,null,null
2020-09-02T16:30:49Z,26.78,61.35,99,5,45.54,101.55,0.00,400.00,0.205508,0.213180,0.224031,0.211352,null,null,null
2020-09-02T16:31:19Z,26.79,61.35,99,7,45.54,101.55,0.00,400.00,0.207469,0.213523,0.223875,0.211805,null,null,null
2020-09-02T16:31:49Z,26.78,61.41,99,6,56.88,101.55,0.00,400.00,0.207703,0.214992,0.222477,0.211820,null,null,null
2020-09-02T16:32:19Z,26.76,61.36,99,6,43.66,101.54,0.00,400.00,0.206664,0.213047,0.223742,0.212445,null,null,null
2020-09-02T16:32:49Z,26.78,61.38,99,6,56.30,101.55,0.00,400.00,0.206516,0.212938,0.223891,0.211516,null,null,null
2020-09-02T16:33:19Z,26.78,61.41,99,5,53.03,101.54,0.00,400.00,0.206992,0.214039,0.223867,0.212344,null,null,null
2020-09-02T16:33:49Z,26.79,61.42,99,5,52.41,101.55,0.00,400.00,0.207719,0.214008,0.224258,0.211375,null,null,null
2020-09-02T16:34:19Z,26.76,61.41,99,5,43.36,101.55,0.00,400.00,0.206750,0.215180,0.224078,0.212000,null,null,null
2020-09-02T16:34:49Z,26.78,61.41,99,5,51.47,101.54,0.00,400.00,0.207023,0.214602,0.222633,0.212039,null,null,null
2020-09-02T16:35:19Z,26.76,61.42,99,5,53.53,101.55,0.00,400.00,0.205953,0.213906,0.225008,0.211875,null,null,null
2020-09-02T16:35:49Z,26.80,61.42,99,5,46.54,101.55,0.00,400.00,0.206281,0.213094,0.226086,0.212117,null,null,null
2020-09-02T16:36:19Z,26.78,61.43,99,6,34.88,101.55,0.00,400.00,0.206578,0.214500,0.224703,0.212031,null,null,null
2020-09-02T16:36:49Z,26.75,61.36,99,5,65.30,101.55,0.00,400.00,0.207359,0.214445,0.223805,0.212047,null,null,null
2020-09-02T16:37:19Z,26.82,61.37,99,5,46.50,101.55,0.00,400.00,0.206766,0.214336,0.224883,0.212305,null,null,null
2020-09-02T16:37:49Z,26.79,61.35,99,4,34.38,101.55,0.00,400.00,0.208000,0.214156,0.223797,0.213313,null,null,null
2020-09-02T16:38:19Z,26.78,61.39,99,5,48.38,101.55,0.00,400.00,0.205398,0.213492,0.224906,0.213117,null,null,null
2020-09-02T16:38:49Z,26.75,61.42,99,6,34.31,101.55,0.00,400.00,0.207773,0.214586,0.223102,0.212688,null,null,null
2020-09-02T16:39:19Z,26.75,61.43,99,5,50.82,101.55,0.00,400.00,0.208859,0.215453,0.225828,0.212836,null,null,null
2020-09-02T16:39:49Z,26.78,61.45,99,7,47.49,101.55,0.00,400.00,0.207188,0.213484,0.224836,0.211977,null,null,null
2020-09-02T16:40:19Z,26.76,61.45,99,6,46.84,101.55,0.00,400.00,0.206727,0.214508,0.223656,0.212164,null,null,null
2020-09-02T16:40:49Z,26.79,61.45,99,5,48.08,101.55,0.00,400.00,0.208398,0.214859,0.224211,0.212328,null,null,null
2020-09-02T16:41:19Z,26.78,61.47,99,5,48.27,101.55,0.00,400.00,0.205586,0.214328,0.224258,0.212211,null,null,null
2020-09-02T16:41:49Z,26.80,61.43,99,5,35.00,101.55,0.00,400.00,0.206742,0.213648,0.224172,0.211906,null,null,null
2020-09-02T16:42:19Z,26.78,61.45,99,6,51.34,101.55,0.00,400.00,0.207219,0.215109,0.223820,0.212094,null,null,null
2020-09-02T16:42:49Z,26.79,61.43,99,7,59.59,101.55,0.00,400.00,0.206422,0.213898,0.223500,0.211391,null,null,null
2020-09-02T16:43:19Z,26.79,61.38,99,6,53.25,101.55,0.00,400.00,0.206484,0.213695,0.223320,0.212234,null,null,null
2020-09-02T16:43:49Z,26.76,61.39,99,5,51.15,101.55,0.00,400.00,0.207797,0.214617,0.224539,0.212711,null,null,null
2020-09-02T16:44:19Z,26.78,61.44,99,6,61.55,101.55,0.00,400.00,0.207305,0.215000,0.225336,0.212219,null,null,null
2020-09-02T16:44:49Z,26.78,61.46,99,7,55.02,101.55,0.00,400.00,0.207531,0.214461,0.223234,0.211562,null,null,null
2020-09-02T16:45:19Z,26.79,61.46,99,6,54.41,101.55,0.00,400.00,0.206820,0.214336,0.224805,0.212578,null,null,null
2020-09-02T16:45:49Z,26.78,61.38,99,5,44.06,101.55,0.00,400.00,0.207352,0.214844,0.225031,0.212148,null,null,null
2020-09-02T16:46:19Z,26.76,61.41,99,5,45.74,101.55,1.00,408.00,0.206211,0.213234,0.224695,0.212711,null,null,null
2020-09-02T16:46:49Z,26.78,61.40,99,5,43.05,101.55,1.00,408.00,0.206156,0.215219,0.224086,0.212523,null,null,null
2020-09-02T16:47:19Z,26.78,61.36,99,7,46.29,101.55,0.00,403.00,0.208367,0.215367,0.223906,0.212164,null,null,null
2020-09-02T16:47:49Z,26.76,61.37,99,6,38.83,101.55,0.00,403.00,0.207602,0.213984,0.226141,0.212297,null,null,null
2020-09-02T16:48:19Z,26.80,61.46,99,6,49.41,101.56,1.00,408.00,0.208641,0.215797,0.224578,0.212383,null,null,null
2020-09-02T16:48:49Z,26.76,61.42,99,7,54.37,101.56,1.00,408.00,0.207320,0.215383,0.225570,0.213031,null,null,null
2020-09-02T16:49:19Z,26.78,61.42,99,7,38.22,101.56,0.00,400.00,0.207773,0.215164,0.224750,0.212375,null,null,null
2020-09-02T16:49:49Z,26.78,61.40,99,5,48.10,101.55,0.00,400.00,0.207055,0.214469,0.225086,0.212930,null,null,null
2020-09-02T16:50:19Z,26.80,61.41,99,6,47.12,101.56,0.00,400.00,0.206586,0.214000,0.226313,0.212727,null,null,null
2020-09-02T16:50:49Z,26.78,61.43,99,6,39.72,101.56,0.00,400.00,0.208609,0.214609,0.223703,0.211812,null,null,null
2020-09-02T16:51:19Z,26.80,61.43,99,5,32.02,101.56,0.00,400.00,0.208852,0.215758,0.223945,0.212617,null,null,null
2020-09-02T16:51:49Z,26.82,61.39,99,7,50.12,101.56,0.00,400.00,0.207805,0.216219,0.225094,0.212555,null,null,null
2020-09-02T16:52:19Z,26.82,61.37,99,7,40.76,101.56,0.00,400.00,0.207328,0.214469,0.224203,0.211898,null,null,null
2020-09-02T16:52:49Z,26.80,61.40,99,5,32.03,101.56,0.00,400.00,0.206922,0.214133,0.226516,0.213156,null,null,null
2020-09-02T16:53:19Z,26.79,61.39,99,5,47.70,101.56,0.00,400.00,0.205969,0.213117,0.224906,0.213055,null,null,null
2020-09-02T16:53:49Z,26.82,61.39,99,6,34.54,101.56,0.00,400.00,0.207937,0.214273,0.224992,0.212563,null,null,null
2020-09-02T16:54:19Z,26.78,61.41,99,11,44.06,101.56,0.00,400.00,0.209273,0.215672,0.224336,0.211969,null,null,null
2020-09-02T16:54:49Z,26.79,61.40,99,5,46.32,101.56,0.00,400.00,0.207891,0.215250,0.223969,0.212836,null,null,null
2020-09-02T16:55:19Z,26.79,61.41,99,5,43.35,101.56,0.00,400.00,0.206594,0.213719,0.225914,0.212344,null,null,null
2020-09-02T16:55:49Z,26.79,61.41,99,6,42.66,101.55,0.00,400.00,0.208258,0.215445,0.225977,0.212969,null,null,null
2020-09-02T16:56:19Z,26.79,61.39,99,7,34.32,101.56,0.00,400.00,0.207937,0.214820,0.225680,0.212367,null,null,null
2020-09-02T16:56:49Z,26.80,61.39,99,6,34.39,101.56,0.00,400.00,0.206648,0.214336,0.224789,0.212453,null,null,null
2020-09-02T16:57:19Z,26.82,61.39,99,5,39.51,101.56,0.00,400.00,0.207695,0.215461,0.224430,0.212563,null,null,null
2020-09-02T16:57:49Z,26.80,61.37,99,6,30.78,101.56,0.00,400.00,0.206250,0.214492,0.224578,0.212461,null,null,null
2020-09-02T16:58:19Z,26.80,61.38,99,5,34.31,101.56,0.00,400.00,0.207297,0.214250,0.223734,0.212477,null,null,null
2020-09-02T16:58:49Z,26.80,61.34,99,5,33.83,101.56,0.00,400.00,0.206297,0.213625,0.226031,0.212625,null,null,null
2020-09-02T16:59:19Z,26.80,61.37,99,6,34.66,101.56,0.00,400.00,0.207500,0.214289,0.226539,0.213430,null,null,null
2020-09-02T16:59:49Z,26.80,61.33,99,6,35.41,101.56,0.00,400.00,0.206578,0.214547,0.225102,0.212742,null,null,null
2020-09-02T17:00:19Z,26.78,61.37,99,5,28.19,101.56,0.00,400.00,0.207625,0.214445,0.223641,0.212352,null,null,null
2020-09-02T17:00:49Z,26.79,61.37,99,5,33.32,101.56,0.00,400.00,0.207430,0.215664,0.224883,0.212625,null,null,null
2020-09-02T17:01:19Z,26.79,61.32,99,5,30.39,101.56,0.00,400.00,0.206867,0.214656,0.224719,0.212437,null,null,null
2020-09-02T17:01:49Z,26.79,61.32,99,3,36.65,101.56,0.00,400.00,0.207539,0.214023,0.225898,0.212711,null,null,null
2020-09-02T17:02:19Z,26.80,61.28,99,3,39.84,101.56,0.00,400.00,0.207164,0.214500,0.224578,0.213398,null,null,null
2020-09-02T17:02:49Z,26.82,61.33,99,5,36.84,101.56,0.00,400.00,0.208219,0.215352,0.224742,0.212859,null,null,null
2020-09-02T17:03:19Z,26.79,61.33,99,2,39.69,101.56,0.00,400.00,0.206375,0.213859,0.224219,0.212672,null,null,null
2020-09-02T17:03:49Z,26.80,61.29,99,2,38.25,101.56,0.00,400.00,0.206648,0.214117,0.226453,0.212969,null,null,null
2020-09-02T17:04:19Z,26.82,61.32,99,1,32.85,101.56,0.00,400.00,0.207672,0.214719,0.225938,0.212609,null,null,null
2020-09-02T17:04:49Z,26.80,61.29,99,1,33.37,101.56,0.00,400.00,0.206445,0.215312,0.224758,0.212484,null,null,null
2020-09-02T17:05:19Z,26.85,61.30,99,0,28.27,101.56,0.00,400.00,0.206352,0.213633,0.224727,0.213109,null,null,null
2020-09-02T17:05:49Z,26.82,61.33,99,0,34.98,101.57,0.00,400.00,0.206633,0.214422,0.224797,0.212570,null,null,null
2020-09-02T17:06:19Z,26.82,61.34,99,0,35.85,101.56,0.00,400.00,0.207031,0.214281,0.226344,0.212852,null,null,null
2020-09-02T17:06:49Z,26.82,61.33,99,0,38.67,101.56,0.00,400.00,0.207961,0.215492,0.226727,0.213148,null,null,null
2020-09-02T17:07:19Z,26.80,61.31,99,0,37.07,101.56,0.00,400.00,0.207680,0.214039,0.224375,0.213039,null,null,null
2020-09-02T17:07:49Z,26.80,61.34,99,0,30.61,101.56,0.00,400.00,0.207180,0.215070,0.225367,0.212367,null,null,null
2020-09-02T17:08:19Z,26.82,61.29,99,0,38.02,101.56,0.00,400.00,0.206391,0.213844,0.225328,0.212437,null,null,null
2020-09-02T17:08:49Z,26.79,61.31,99,0,31.37,101.56,0.00,400.00,0.207438,0.213516,0.226172,0.213125,null,null,null
2020-09-02T17:09:19Z,26.80,61.37,99,0,29.62,101.57,0.00,402.00,0.207156,0.215523,0.224172,0.212820,null,null,null
2020-09-02T17:09:49Z,26.80,61.38,99,0,31.27,101.56,0.00,402.00,0.209031,0.214883,0.223305,0.212711,null,null,null
2020-09-02T17:10:19Z,26.80,61.36,99,0,29.51,101.56,0.00,400.00,0.207000,0.214344,0.226164,0.212883,null,null,null
2020-09-02T17:10:49Z,26.83,61.31,99,0,29.40,101.57,0.00,400.00,0.206687,0.214961,0.226812,0.213250,null,null,null
2020-09-02T17:11:19Z,26.82,61.30,99,0,36.35,101.57,0.00,400.00,0.208094,0.214586,0.224703,0.212531,null,null,null
2020-09-02T17:11:49Z,26.85,61.26,99,0,32.61,101.57,0.00,400.00,0.206211,0.214477,0.225570,0.211906,null,null,null
2020-09-02T17:12:19Z,26.82,61.24,99,0,33.21,101.57,0.00,400.00,0.206820,0.215023,0.225984,0.213922,null,null,null
2020-09-02T17:12:49Z,26.82,61.21,99,0,29.61,101.57,0.00,400.00,0.208477,0.214820,0.225648,0.212555,null,null,null
